grid_code,STATE_ABBR,latitude,longitude
21.0000000,MT,48.767127060000000,-109.228929739999998
31.0000000,MT,48.779684779999997,-109.095716769999996
31.0000000,MT,48.792116829999998,-108.962451979999997
31.0000000,MT,48.804423110000002,-108.829135879999995
31.0000000,MT,48.816603540000003,-108.695768950000001
31.0000000,MT,48.828658009999998,-108.562351699999994
31.0000000,MT,48.840586440000003,-108.428884620000005
31.0000000,MT,48.852388750000003,-108.295368210000007
31.0000000,MT,48.864064849999998,-108.161802980000004
31.0000000,MT,48.875614640000002,-108.028189409999996
12.0000000,MT,47.873757840000003,-115.915289360000003
13.0000000,MT,47.892553950000000,-115.785512769999997
12.0000000,MT,47.911230199999999,-115.655661249999994
12.0000000,MT,47.929786470000003,-115.525735240000003
12.0000000,MT,47.948222629999997,-115.395735139999999
11.0000000,MT,47.966538550000003,-115.265661390000005
11.0000000,MT,47.984734119999999,-115.135514409999999
21.0000000,MT,48.002809200000002,-115.005294620000001
11.0000000,MT,48.020763670000001,-114.875002460000005
11.0000000,MT,48.038597420000002,-114.744638350000002
11.0000000,MT,48.056310310000001,-114.614202730000002
21.0000000,MT,48.073902240000002,-114.483696030000004
11.0000000,MT,48.091373060000002,-114.353118679999994
21.0000000,MT,48.108722680000000,-114.222471119999994
21.0000000,MT,48.125950959999997,-114.091753780000005
21.0000000,MT,48.143057790000000,-113.960967109999999
11.0000000,MT,48.160043049999999,-113.830111549999998
12.0000000,MT,48.176906610000003,-113.699187530000003
11.0000000,MT,48.193648379999999,-113.568195509999995
11.0000000,MT,48.210268220000003,-113.437135929999997
31.0000000,MT,48.226766019999999,-113.306009230000001
21.0000000,MT,48.243141670000000,-113.174815859999995
21.0000000,MT,48.259395050000002,-113.043556269999996
22.0000000,MT,48.275526050000003,-112.912230910000005
22.0000000,MT,48.291534550000002,-112.780840249999997
31.0000000,MT,48.307420450000002,-112.649384710000007
21.0000000,MT,48.323183620000002,-112.517864779999996
21.0000000,MT,48.338823970000000,-112.386280889999995
21.0000000,MT,48.354341370000000,-112.254633519999999
31.0000000,MT,48.369735720000001,-112.122923110000002
31.0000000,MT,48.385006910000001,-111.991150140000002
31.0000000,MT,48.400154839999999,-111.859315050000006
31.0000000,MT,48.415179379999998,-111.727418330000006
31.0000000,MT,48.430080449999998,-111.595460419999995
31.0000000,MT,48.444857919999997,-111.463441810000006
31.0000000,MT,48.459511700000000,-111.331362949999999
31.0000000,MT,48.474041669999998,-111.199224310000005
31.0000000,MT,48.488447749999999,-111.067026380000001
31.0000000,MT,48.502729809999998,-110.934769610000004
31.0000000,MT,48.516887760000003,-110.802454479999994
31.0000000,MT,48.530921509999999,-110.670081470000000
31.0000000,MT,48.544830930000003,-110.537651060000002
31.0000000,MT,48.558615949999997,-110.405163709999997
31.0000000,MT,48.572276449999997,-110.272619910000003
31.0000000,MT,48.585812330000003,-110.140020140000004
21.0000000,MT,48.599223510000002,-110.007364879999997
31.0000000,MT,48.612509869999997,-109.874654609999993
31.0000000,MT,48.625671330000003,-109.741889819999997
21.0000000,MT,48.638707789999998,-109.609070979999998
21.0000000,MT,48.651619160000003,-109.476198600000004
21.0000000,MT,48.664405330000001,-109.343273150000002
31.0000000,MT,48.677066220000000,-109.210295119999998
31.0000000,MT,48.689601740000001,-109.077264999999997
31.0000000,MT,48.702011779999999,-108.944183289999998
31.0000000,MT,48.714296259999998,-108.811050469999998
31.0000000,MT,48.726455100000003,-108.677867050000003
31.0000000,MT,48.738488189999998,-108.544633509999997
31.0000000,MT,48.750395460000000,-108.411350339999998
31.0000000,MT,48.762176810000000,-108.278018059999994
22.0000000,MT,48.773832159999998,-108.144637149999994
31.0000000,MT,48.785361410000000,-108.011208109999998
21.0000000,MT,48.796764500000002,-107.877731449999999
31.0000000,MT,48.808041320000001,-107.744207660000001
32.0000000,MT,48.819191799999999,-107.610637249999996
31.0000000,MT,48.830215850000002,-107.477020719999999
21.0000000,MT,48.841113399999998,-107.343358580000000
22.0000000,MT,48.851884360000000,-107.209651330000000
32.0000000,MT,48.862528640000001,-107.075899480000004
32.0000000,MT,48.873046180000003,-106.942103540000005
32.0000000,MT,48.883436889999999,-106.808264010000002
13.0000000,MT,47.803876510000002,-115.758126039999993
12.0000000,MT,47.822521219999999,-115.628443869999998
12.0000000,MT,47.841046130000002,-115.498687509999996
