grid_code,degrees,metres,protected
0.4947340,0.0377260,788.4641724,0
0.4452024,0.1519775,802.0356445,1
0.6549711,0.3773409,850.4979248,1
0.7093266,0.5305339,909.9403076,0
0.8853226,0.2358765,1050.3825684,1
0.8672706,0.1998740,978.3357544,1
0.7056786,0.1864913,945.4987183,1
0.5958000,0.1664822,922.5798340,1
0.5282341,0.1206493,916.2633667,0
0.6428242,0.1324234,868.5851440,1
0.6843030,0.1111132,849.6201782,1
0.0611437,0.7033715,1440.7316895,1
0.0696340,1.6090156,1011.9465332,0
0.0792964,1.5025201,787.8687744,0
0.0606494,2.1773345,1605.8312988,1
0.0581999,0.6024159,1752.8842773,0
0.0668432,1.0213835,1405.6380615,0
0.0652004,0.2335531,1592.7453613,0
0.1250594,0.3034789,1042.3220215,0
0.0694901,0.2715749,1317.5695801,1
0.0677904,0.1375239,1242.3323975,1
0.0648995,0.1540638,1277.9586182,1
0.0881514,0.7534341,1091.9910889,1
0.0650158,1.3957202,1490.4049072,1
0.4418965,1.2203863,884.9246826,1
0.3766366,1.4574897,914.5805054,1
0.2840166,1.7442433,1325.7839355,1
0.0390086,0.6633532,1688.1802979,0
0.0331395,0.5376977,1467.6317139,1
0.0402337,0.9377996,1372.0166016,1
0.0226739,1.0820757,1987.8869629,1
0.6027093,0.5070989,1799.4206543,1
0.4984088,0.8456993,1902.5881348,0
0.4817918,1.6922598,1521.4630127,0
0.2263643,1.3650749,1479.3166504,1
0.2250697,0.8584557,1368.8553467,0
0.5212147,0.4329118,1240.2672119,0
0.4414451,0.3034365,1176.8516846,0
0.4279627,0.2760985,1142.7191162,0
0.4187641,0.3445604,1139.4566650,0
0.5734522,0.3537756,1090.4603271,0
0.7997384,0.2888606,1032.6158447,0
0.8035142,0.1155421,971.4531250,0
0.8317038,0.0784753,1019.9682007,1
0.9687576,0.1626634,1023.9956665,1
0.7983615,0.1488823,992.2062988,1
0.8570396,0.1611912,944.6524048,0
0.7748503,0.2572399,986.8443604,0
0.7188849,0.2554104,969.7103882,0
0.6284177,0.2213480,966.7130127,0
0.6363091,0.1849927,1023.5103760,0
0.6177770,0.2115827,990.6633301,0
0.5349283,0.2013478,956.3031006,1
0.6140487,0.2031887,912.5207520,0
0.5854212,0.1684327,865.8335571,0
0.6195993,0.1594161,869.4925537,0
0.4942372,0.1104009,820.5696411,0
0.5706165,0.1454604,802.8881226,0
0.6430141,0.1131710,865.8942871,0
0.4805381,0.1427683,820.3250732,0
0.4356354,0.1016005,782.2828979,0
0.4508670,0.1530128,832.5748901,1
0.5246361,0.2040807,768.4630737,1
0.7284759,0.3615963,836.6752319,1
0.7858689,0.5378937,847.7343140,0
0.7532185,0.5639299,949.8043213,0
0.8741544,0.3354878,970.2469482,1
0.7483160,0.0900030,955.8119507,1
0.6380920,0.1630151,941.7343750,1
0.5724357,0.2033597,879.1086426,0
0.4686537,0.0814774,851.1535034,1
0.5868962,0.0636386,879.1569824,1
0.4071314,0.1831203,823.3099365,1
0.5690392,0.2739226,808.8613892,1
0.6897596,0.1192133,735.9710083,1
0.5642343,0.3065932,855.7022095,0
0.4426457,0.1330480,835.2330322,0
0.4293710,0.2428485,802.9535522,0
0.7598624,0.2298539,817.7749634,0
0.7813535,0.0955316,770.9956665,1
0.6448979,0.1500498,823.7565308,1
0.0808373,1.7231581,1172.7795410,0
0.0784193,0.6436067,806.1393433,0
0.0652065,2.1579652,1210.8251953,0
0.0655857,0.9596501,1458.3966064,0
0.0616555,0.8508728,1516.1760254,0
0.0657557,0.7088930,1194.4117432,0
0.0646975,0.9577974,1232.9221191,0
0.0538674,0.7058887,1673.3273926,0
0.0789374,0.8484695,1132.9627686,1
0.0553267,0.9496072,1432.9215088,0
0.0523024,0.2665740,1680.0546875,0
0.0636467,0.7075929,991.8798828,1
0.3460947,1.9333198,1072.4935303,1
0.0407495,0.6635594,1516.7424316,0
0.0385178,0.4077086,1119.2987061,1
0.0264558,1.3241278,1848.8687744,1
0.0272467,0.4365589,1678.7806396,1
0.0341144,0.6617649,1846.7722168,1
